"stop_id","stop_name","stop_lon","stop_lat","stop_code"
"906471","Großburgwedel Dammstraße",9.849175,52.494729,""
"906507","Großburgwedel Ehlbeek",9.845076,52.487529,""
"906511","Großburgwedel In der Meineworth",9.844357,52.491583,""
"906505","Großburgwedel Kokenhorststraße",9.84219,52.488958,""
"906941","Fuhrberg Schlesische Straße",9.841579,52.567398,""
"906503","Großburgwedel Im Steinkamp",9.84033,52.492527,""
"906521","Großburgwedel Raiffeisenstraße",9.839772,52.495574,""
"906939","Fuhrberg Schützenstraße",9.838028,52.563578,""
"906513","Großburgwedel Isernhagener Straße",9.832069,52.488886,""
"906539","Isernhagen Eisenstraße",9.810431,52.484679,""
"906848","Großburgwedel Sprachheilheim",9.805838,52.512923,""
"906555","Isernhagen Bahnhof",9.802116,52.484868,""
"906831","Bissendorf(Wedemark) Bussardweg",9.794916,52.515773,""
"906846","Bissendorf(Wedemark) Wietze-Aue",9.790484,52.519252,""
"906844","Bissendorf(Wedemark) Natelsheideweg",9.784749,52.519836,""
"906826","Bissendorf(Wedemark) Ahornweg",9.78457,52.519647,""
"906978","Gailhof An der Autobahn",9.783491,52.553321,""
"906966","Bissendorf(Wedemark) Kreihnbrink",9.782853,52.517014,""
"906964","Bissendorf(Wedemark) Isernhägener Damm",9.776848,52.508636,""
"906868","Gailhof Hessenweg",9.775643,52.553339,""
"906916","Meitze Fuhrberger Weg",9.770942,52.562625,""
"892310","Hann. Münden Gimter Straße/Auefeld",9.642252,51.432303,""
"906866","Gailhof Am Dreieck",9.76616,52.552179,""
"906870","Meitze Ortsmitte",9.764389,52.566248,""
"906827","Maspe",9.759975,52.495215,""
"892251","Hann. Münden Schröderstraße",9.643196,51.408814,""
"906852","Bissendorf(Wedemark) Mellendorfer Straße",9.754537,52.525149,""
"906842","Bissendorf(Wedemark) Feuerwehrhaus",9.753997,52.521059,""
"996822","Twenge",9.753476,52.48752,""
"892212","Hann. Münden Gimter Straße/Weserpark",9.644392,51.427081,""
"906822","Twenge",9.753314,52.487538,""
"892207","Hann. Münden Pionierbrücke",9.645147,51.415592,""
"892208","Hann. Münden Fischerweg",9.645417,51.419008,""
"996601","Maspe Abzweigung",9.752999,52.489776,""
"906601","Maspe Abzweigung",9.75291,52.489722,""
"906838","Bissendorf(Wedemark) Am Mühlenberg",9.751588,52.524196,""
"906914","Bissendorf(Wedemark) Schule",9.750698,52.526434,""
"906908","Mellendorf Am Freizeitpark",9.749476,52.546516,""
"906854","Wennebostel",9.74926,52.530911,""
"906840","Bissendorf(Wedemark) Bahnhof",9.74864,52.523036,""
"906836","Bissendorf(Wedemark) Scherenbosteler Straße",9.746266,52.523423,""
"906864","Mellendorf Bahnhof",9.74419,52.548359,""
"906828","Altenhorst",9.741961,52.489713,""
"996828","Altenhorst",9.741853,52.489767,""
"892220","Hann. Münden Blume",9.653417,51.420006,""
"906904","Hoheheide",9.741349,52.599472,""
"906981","Bissendorf(Wedemark) Müdener Weg",9.741116,52.522902,""
"906993","Mellendorf Rotkamp",9.740468,52.552224,""
"906983","Mellendorf Bunzlauer Weg",9.739579,52.543307,""
"906954","Elze(Wedemark) Okerstraße",9.738167,52.585565,""
"906892","Elze(Wedemark) Schule",9.736675,52.580109,""
"906872","Sommerbostel",9.735713,52.558436,""
"906856","Mellendorf Ortseingang",9.734536,52.545375,""
"906860","Mellendorf Schulzentrum",9.7329,52.549662,""
"906899","Mellendorf Gilborn",9.73076,52.544188,""
"906874","Hellendorf Schule",9.730041,52.562005,""
